library,section,name,kind,number,version,interface_change,sfc_contact,code_change
APL,10.0,Byt2DigV,FC,478,10,new,no,new
APL,10.0,CntOhSc,FB,1803,6,yes,no,yes
APL,10.0,ConPerMon,FB,1805,6,yes,no,yes
APL,10.0,CountOh,FB,1864,6,yes,no,yes
APL,10.0,CountScL,FB,1806,6,yes,no,yes
APL,10.0,DigV2Byt,FC,477,10,new,no,new
APL,10.0,DoseL,FB,1809,6,yes,no,yes
APL,10.0,Event16Ts,FB,1887,6,no,no,yes
APL,10.0,FbAnIn,FB,1813,10,yes,no,yes
APL,10.0,FbAnOu,FB,1814,10,yes,no,yes
APL,10.0,FbAnTot,FB,1817,10,yes,no,yes
APL,10.0,FbDiIn,FB,1815,10,yes,no,yes
APL,10.0,FbDiOu,FB,1816,10,yes,no,yes
APL,10.0,FbDrive,FB,1905,10,yes,no,yes
APL,10.0,FbEnMe,FB,1908,10,yes,no,yes
APL,10.0,FbSwtMMS,FB,1907,10,yes,no,yes
APL,10.0,FmCont,FB,1818,10,yes,no,yes
APL,10.0,FmTemp,FB,1819,10,yes,no,yes
APL,10.0,Intlk02,FB,1824,6,yes,no,yes
APL,10.0,Intlk04,FB,1825,6,yes,no,yes
APL,10.0,Intlk08,FB,1826,6,yes,no,yes
APL,10.0,Intlk16,FB,1827,6,yes,no,yes
APL,10.0,MBComm,FB,1941,10,yes,no,yes
APL,10.0,MBPdReg,FB,1947,10,yes,no,yes
APL,10.0,MBRcvReg,FB,1946,10,yes,no,yes
APL,10.0,MBRdCoil,FB,1942,10,yes,no,yes
APL,10.0,MBRdReg,FB,1943,10,yes,no,yes
APL,10.0,MBWrCoil,FB,1944,10,yes,no,no
APL,10.0,MBWrReg,FB,1945,10,yes,no,yes
APL,10.0,ModPreCon,FB,1843,6,yes,no,yes
APL,10.0,MonAnL,FB,1845,6,yes,no,yes
APL,10.0,MonAnS,FB,1912,6,yes,no,yes
APL,10.0,MonDi08,FB,1847,6,yes,no,yes
APL,10.0,MonDiL,FB,1848,6,yes,no,yes
APL,10.0,MonDiS,FB,1913,6,yes,no,yes
APL,10.0,MotL,FB,1850,6,yes,no,yes
APL,10.0,MotRevL,FB,1851,6,yes,no,yes
