mlfb,fw,status,note
6DL1133-6EW00-0PH1,,listed,4.1 AI | AI-DI 16/DQ 16x24VDC HART HA
6DL1134-6GH00-0PH1,,listed,4.1 AI | AI 16xI 2-wire HA
6DL1134-6TH00-0PH1,,listed,4.1 AI | AI 16xI 2-wire HART HA
6DL1134-6JH00-0PH1,,listed,4.1 AI | AI 16xTC/8xRTD 2-/3-/4- wire HA
6DL1134-6AF00-0PH1,,listed,4.1 AI | AI 8xU/I/TC/4xRTD 2-/3-/4- wire HA
6DL1134-6UD00-0PK0,,listed,4.1 AI | AI 4xI 2-/4-wire HART ISOL HA
6DL1134-6JD00-0HX1,,listed,4.1 AI | Ex-AI 4xTC/2xRTD 2-/3-/4- wire
6DL1134-6TB00-0HX1,,listed,4.1 AI | Ex-AI 2xI 2-wire HART
6DL1136-6AA00-0PH1,,listed,4.1 AI | F-AI 8xI 2-/4-wire HART HA
6DL1135-6TF00-0PH1,,listed,4.2 AQ | AQ 8xI HART HA
6DL1135-6UD00-0PK0,,listed,4.2 AQ | AQ 4xI HART ISOL HA
6DL1135-6TB00-0HX1,,listed,4.2 AQ | Ex-AQ 2xI HART
6DL1133-6CH00-0PH1,,listed,4.3 CIO | CIO 16x 2wire HART HA
6DL1131-6BL00-0PH1,,listed,4.4 DI | DI 32x24VDC HA
6DL1131-6BH00-0PH1,,listed,4.4 DI | DI 16x24VDC HA
6DL1131-6BH60-0PH1,,listed,4.4 DI | DI 16x24VDC NPN HA
6DL1131-6TH00-0PH1,,listed,4.4 DI | DI 16xNAMUR HA
6DL1131-6GF00-0PK0,,listed,4.4 DI | DI 8x230VAC HA
6DL1131-6DF00-0PK0,,listed,4.4 DI | DI 8x24..125VDC HA
6DL1131-6TD00-0HX1,,listed,4.4 DI | Ex-DI 4xNAMUR
6DL1136-6BA00-0PH1,,listed,4.4 DI | F-DI 16x24VDC HA
6DL1136-6TH00-0PH1,,listed,4.4 DI | F-DI 16xNAMUR HA
6DL1132-6BL00-0PH1,,listed,4.5 DQ | DQ 32x24VDC/0.5A HA
6DL1132-6BH00-0PH1,,listed,4.5 DQ | DQ 16x24VDC/0.5A HA
6DL1132-6FF00-0PK0,,listed,4.5 DQ | DQ 8x24V-230VAC/2A HA
6DL1132-6BF20-0PK0,,listed,4.5 DQ | DQ 8x24VDC/2A HA
6DL1132-6HD50-0PK0,,listed,4.5 DQ | RQ 4x120VDC-230VAC/5A CO HA
6DL1132-6CB00-0HX1,,listed,4.5 DQ | Ex-DQ 2x17.4VDC/27mA
6DL1132-6EB00-0HX1,,listed,4.5 DQ | Ex-DQ 2x23.1VDC/20mA
6DL1136-6DA00-0PH1,,listed,4.5 DQ | F-DQ 10x24VDC/2A PP HA
6DL1155-6AU00-0PM0,,listed,4.6 IM | ET 200SP HA- IM155-6 PN
6DL1133-6PX00-0HW0,,listed,4.7 PM | Ex-PM E
6DL1138-6EA00-0EH1,,listed,4.8 TM | Fast Multi IO & Counter
6DL1138-6EC00-0EH1,,listed,4.8 TM | Vibration protection
6DL1193-6AR00-0AA0,,listed,4.9 BusAdapter | BA 2xRJ45
6DL1193-6AF00-0AA0,,listed,4.9 BusAdapter | BA 2xFC
6DL1193-6AG00-0AA0,,listed,4.9 BusAdapter | BA 2xLC
6GK5991-2VA00-8AA2,,listed,4.9 BusAdapter | BA 2xRJ45VD
6DL1193-6AG40-0AA0,,listed,4.9 BusAdapter | BA LC/FC
6DL1193-6AG20-0AA0,,listed,4.9 BusAdapter | BA LC/RJ45
6ES7193-6AG50-0AA0,,listed,4.9 BusAdapter | BA 2xLC-LD
6ES7193-6AG60-0AA0,,listed,4.9 BusAdapter | BA LC-LD/RJ45
6ES7134-6PA20-0BD0,,discontinued 10/22,4.10 SP modules | AI Energy Meter 480VAC ST
6ES7134-6PA01-0CU0,,listed,4.10 SP modules | AI Energy Meter CT HF
6ES7134-6PA21-0CU0,,listed,4.10 SP modules | AI Energy Meter RC HF
6ES7137-6AA00-0BA0,,discontinued 10/22,4.10 SP modules | CM PtP
6ES7137-6AA01-0BA0,,listed,4.10 SP modules | CM PtP
6ES7 153-1AA02-0XB0,,discontinued 08/00,5.1 IM | ET 200M- IM 153-1
6ES7 153-1AA82-0XB0,,discontinued 10/05,"5.1 IM | ET 200M- IM 153-1, extended environ mental conditions"
6ES7 153-1AA03-0XB0,,discontinued 10/24,5.1 IM | ET 200M- IM 153-1
6ES7 153-1AA83-0XB0,,discontinued 11/03,"5.1 IM | ET 200M- IM 153-1, extended environ mental conditions"
6ES7 153-2AA01-0XB0,,discontinued 04/00,5.1 IM | ET 200M- IM 153-2
6ES7 153-2AA02-0XB0,,discontinued 06/04,5.1 IM | ET 200M- IM 153-2
6ES7 153-2BA00-0XB0,V3.x,listed,5.1 IM | ET 200M- IM 153-2
6ES7 153-2BA01-0XB0,V4.x,discontinued 10/09,5.1 IM | ET 200M- IM 153-2
